Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders,3397,0,4,24.173573216956136,1.5000419999964265,1233.932582999998,171.90903738592877,57.32731599832761,0.0,4,6,6,7,18,99,300,530,1200,1200,1200
GET,/orders/[id],1201,0,2,22.251821492922577,0.7231670000038548,1156.004916999997,171.87010824313072,20.26791478186384,0.0,2,3,4,4,12,100,270,620,1100,1200,1200
POST,/orders/[id]/cancel,233,0,5,30.707305626609305,1.838249999998709,1278.2199999999975,173.93562231759657,3.9320767228761655,0.0,5,6,8,9,22,190,440,780,1300,1300,1300
,Aggregated,4831,0,4,24.010943498654477,0.7231670000038548,1278.2199999999975,171.99710204926515,81.52730750306762,0.0,4,5,6,7,16,100,320,580,1200,1300,1300
